ds,y,year,month,day_of_week,lag_1,lag_7,rsi,macd,macd_diff
2020-12-11 05:00:00,119.83094024658205,2020,12,4,120.6434326171875,120.48680877685548,56.78520077387136,1.7646656000119236,0.2526915738280482
2020-12-14 05:00:00,119.21420288085938,2020,12,0,119.83094024658205,120.34974670410156,55.0377449776706,1.6467144051974572,0.10779230321086541
2020-12-15 05:00:00,125.1856689453125,2020,12,1,119.21420288085938,119.67430114746094,65.96026013325536,2.011892791550494,0.37837655165112194
2020-12-16 05:00:00,125.11714935302734,2020,12,2,125.1856689453125,121.14268493652344,65.76284807806864,2.2696077103450705,0.5088731763565586
2020-12-17 05:00:00,125.9883804321289,2020,12,3,125.11714935302734,121.75940704345705,67.11072096158469,2.515156548071502,0.6035376112663922
2020-12-18 05:00:00,123.99138641357422,2020,12,4,125.9883804321289,119.21420288085938,61.16652395224268,2.5195709972536946,0.4863616483588675
2020-12-21 05:00:00,125.52828216552734,2020,12,0,123.99138641357422,120.6434326171875,63.82231779355471,2.616917922013741,0.46696685849513075
2020-12-22 05:00:00,129.10140991210938,2020,12,1,125.52828216552734,119.83094024658205,69.11134610571116,2.948400285333534,0.6387593774519389
2020-12-23 05:00:00,128.20082092285156,2020,12,2,129.10140991210938,119.21420288085938,66.47351742986575,3.1026668296993307,0.6344207374541884
2020-12-24 05:00:00,129.1894989013672,2020,12,3,128.20082092285156,125.1856689453125,67.92105620261853,3.2670418034321926,0.6390365689496402
2020-12-28 05:00:00,133.81007385253906,2020,12,0,129.1894989013672,125.11714935302734,73.64755280135,3.7271872427359654,0.8793456066027301
2020-12-29 05:00:00,132.0283966064453,2020,12,1,133.81007385253906,125.9883804321289,68.5649212773543,3.903096883610516,0.8442041979818242
2020-12-30 05:00:00,130.9026641845703,2020,12,2,132.0283966064453,123.99138641357422,65.48957988433955,3.9066360741904447,0.678194710849402
2020-12-31 05:00:00,129.8943634033203,2020,12,3,130.9026641845703,125.52828216552734,62.7737111855031,3.784454624725271,0.44481060910738224
2021-01-04 05:00:00,126.68344116210938,2021,1,0,129.8943634033203,129.10140991210938,54.95763208716383,3.3894587846804427,0.03985181525004311
2021-01-05 05:00:00,128.2497100830078,2021,1,1,126.68344116210938,128.20082092285156,57.72290203888549,3.1663073277975684,-0.14663971330626513
2021-01-06 05:00:00,123.9326400756836,2021,1,2,128.2497100830078,129.1894989013672,48.82537437121981,2.6110086378857176,-0.5615507225744931
2021-01-07 05:00:00,128.16163635253906,2021,1,3,123.9326400756836,133.81007385253906,55.98307860480307,2.483546305904653,-0.5512104436444463
2021-01-08 05:00:00,129.2677764892578,2021,1,4,128.16163635253906,132.0283966064453,57.65153285050693,2.4436192327129618,-0.47291001346891015
2021-01-11 05:00:00,126.26251220703124,2021,1,0,129.2677764892578,130.9026641845703,51.89599776725437,2.1447536430807475,-0.6174204824808998
2021-01-12 05:00:00,126.08629608154295,2021,1,1,126.26251220703124,129.8943634033203,51.57089015677695,1.8721009273119336,-0.7120585585997707
2021-01-13 05:00:00,128.13226318359375,2021,1,2,126.08629608154295,126.68344116210938,55.08880680182705,1.8003606945818689,-0.6270390330638684
2021-01-14 05:00:00,126.19395446777344,2021,1,3,128.13226318359375,128.2497100830078,51.287771744298894,1.5690141110432165,-0.6867084932820164
2021-01-15 05:00:00,124.4612808227539,2021,1,4,126.19395446777344,123.9326400756836,48.09328247707451,1.2316601823314102,-0.8192499375950586
2021-01-19 05:00:00,125.13673400878906,2021,1,1,124.4612808227539,128.16163635253906,49.415990598564115,1.0071978406901252,-0.834969823389075
2021-01-20 05:00:00,129.24822998046875,2021,1,2,125.13673400878906,129.2677764892578,56.656280123844176,1.1478415782767826,-0.5554608686419342
2021-01-21 05:00:00,133.9862518310547,2021,1,3,129.24822998046875,126.26251220703124,63.19421566139784,1.6229135820934033,-0.06431109186025097
2021-01-22 05:00:00,136.13990783691406,2021,1,4,133.9862518310547,126.08629608154295,65.7250040113394,2.1484278695157712,0.36896255644969345
2021-01-25 05:00:00,139.90878295898438,2021,1,0,136.13990783691406,128.13226318359375,69.65704244127475,2.836323085986038,0.8454862183359682
2021-01-26 05:00:00,140.14373779296875,2021,1,1,139.90878295898438,126.19395446777344,69.8889545875985,3.3616923952081095,1.0966844220464318
2021-01-27 05:00:00,139.06689453125,2021,1,2,140.14373779296875,124.4612808227539,67.34830342763543,3.6490946149434365,1.107269313425407
2021-01-28 05:00:00,134.20162963867188,2021,1,3,139.06689453125,125.13673400878906,57.22621363021916,3.4445698712831927,0.7221956558121301
2021-01-29 05:00:00,129.17970275878906,2021,1,4,134.20162963867188,129.24822998046875,49.03419140948387,2.8444657783247465,0.09767325028294671
2021-02-01 05:00:00,131.3137969970703,2021,2,0,129.17970275878906,133.9862518310547,52.16779735020461,2.512124325319064,-0.18773456217818874
2021-02-02 05:00:00,132.1458740234375,2021,2,1,131.3137969970703,136.13990783691406,53.37158730800211,2.2894911625283214,-0.3282941799751451
2021-02-03 05:00:00,131.1179962158203,2021,2,2,132.1458740234375,139.90878295898438,51.64256428558405,2.0069764530387317,-0.48864711157178764
2021-02-04 05:00:00,134.4952850341797,2021,2,3,131.1179962158203,140.14373779296875,56.61574454895525,2.0321748461790605,-0.37075897474516717
2021-02-05 05:00:00,134.07864379882812,2021,2,4,134.4952850341797,139.06689453125,55.85262382144527,1.99552215141847,-0.32592933560460624
2021-02-08 05:00:00,134.22569274902344,2021,2,0,134.07864379882812,134.20162963867188,56.07764634596272,1.9557950600812433,-0.2925251415534662
2021-02-09 05:00:00,133.34336853027344,2021,2,1,134.22569274902344,129.17970275878906,54.28956045519675,1.831996745314683,-0.33305876505602106
2021-02-10 05:00:00,132.73548889160156,2021,2,2,133.34336853027344,131.3137969970703,53.03487679289916,1.6656344848449578,-0.3995368204205971
2021-02-11 05:00:00,132.48057556152344,2021,2,3,132.73548889160156,132.1458740234375,52.48706692029682,1.495977126409798,-0.45535534308460557
2021-02-12 05:00:00,132.71588134765625,2021,2,4,132.48057556152344,131.1179962158203,52.969979151435425,1.3647773541488561,-0.46924409227643804
2021-02-16 05:00:00,130.5786590576172,2021,2,1,132.71588134765625,134.4952850341797,48.180087192990904,1.0759418244923324,-0.6064636975463695
2021-02-17 05:00:00,128.27468872070312,2021,2,2,130.5786590576172,134.07864379882812,43.60266642551368,0.6535922307968463,-0.8230506329934848
2021-02-18 05:00:00,127.16685485839844,2021,2,3,128.27468872070312,134.22569274902344,41.55814420239702,0.2268689962271253,-0.9998190940505647
2021-02-19 05:00:00,127.32372283935548,2021,2,4,127.16685485839844,133.34336853027344,41.9730532080793,-0.0975300408805424,-1.059374504926586
2021-02-22 05:00:00,123.52961730957033,2021,2,0,127.32372283935548,132.73548889160156,35.422628866984624,-0.6532410661656343,-1.2920684241693423
2021-02-23 05:00:00,123.39231872558594,2021,2,1,123.52961730957033,132.48057556152344,35.20849386801018,-1.0921354480468324,-1.3847702448404324
2021-02-24 05:00:00,122.89234161376952,2021,2,2,123.39231872558594,132.71588134765625,34.393137602813965,-1.4634367937904358,-1.4048572724672286
2021-02-25 05:00:00,118.61783599853516,2021,2,3,122.89234161376952,130.5786590576172,28.348726770240887,-2.0786512670978112,-1.6160573966196832
2021-02-26 05:00:00,118.8825454711914,2021,2,4,118.61783599853516,128.27468872070312,29.17879494756444,-2.515852149880601,-1.6426066235219783
2021-03-01 05:00:00,125.28451538085938,2021,3,0,118.8825454711914,127.16685485839844,45.59455653427156,-2.3190193199519484,-1.1566190348746606
2021-03-02 05:00:00,122.6668701171875,2021,3,1,125.28451538085938,127.32372283935548,41.371906362576794,-2.347193000500738,-0.94783417233876
2021-03-03 05:00:00,119.6668472290039,2021,3,2,122.6668701171875,123.52961730957033,37.12794449231819,-2.5818358239140053,-0.9459815966016216
2021-03-04 05:00:00,117.77469635009766,2021,3,3,119.6668472290039,123.39231872558594,34.7095309598934,-2.8871909742056374,-1.0010693975146028
2021-03-05 05:00:00,119.03938293457033,2021,3,4,117.77469635009766,122.89234161376952,37.63362921612204,-2.992640199471012,-0.8852148982239818
2021-03-08 05:00:00,114.07859802246094,2021,3,0,119.03938293457033,118.61783599853516,31.646483810435527,-3.436885081776296,-1.063567824423413
2021-03-09 05:00:00,118.71585845947266,2021,3,1,114.07859802246094,118.8825454711914,41.08240842800128,-3.3758494979316254,-0.8020257924629934
2021-03-10 05:00:00,117.6276397705078,2021,3,2,118.71585845947266,125.28451538085938,39.69748435292976,-3.376367844774961,-0.6420353114450634
2021-03-11 05:00:00,119.56881713867188,2021,3,3,117.6276397705078,122.6668701171875,43.36513261970676,-3.183445074673031,-0.35929003307450635
2021-03-12 05:00:00,118.65704345703124,2021,3,4,119.56881713867188,119.6668472290039,42.07081838976286,-3.0687502627334595,-0.19567617690794759
2021-03-15 04:00:00,121.55899810791016,2021,3,0,118.65704345703124,117.77469635009766,47.44712220377615,-2.712423184218011,0.12852072128600112
2021-03-16 04:00:00,123.10803985595705,2021,3,1,121.55899810791016,119.03938293457033,50.10887018290336,-2.2787684597908395,0.4497403565705378
2021-03-17 04:00:00,122.31391143798828,2021,3,2,123.10803985595705,114.07859802246094,48.74579476989321,-1.9763908889831185,0.6016943419026073
2021-03-18 04:00:00,118.16683959960938,2021,3,3,122.31391143798828,118.71585845947266,42.278013157169845,-2.047782957206934,0.4242418189430337
2021-03-19 04:00:00,117.63743591308594,2021,3,4,118.16683959960938,117.6276397705078,41.52063587586895,-2.1226119889886235,0.2795302297290756
2021-03-22 04:00:00,120.97076416015624,2021,3,0,117.63743591308594,119.56881713867188,47.85478093692525,-1.8911428860428714,0.40879946613986196
2021-03-23 04:00:00,120.13743591308594,2021,3,1,120.97076416015624,118.65704345703124,46.498811441748906,-1.754717290782807,0.43618004911994124
2021-03-24 04:00:00,117.73546600341795,2021,3,2,120.13743591308594,121.55899810791016,42.73964432287538,-1.8194444976519009,0.2971622738006783
2021-03-25 04:00:00,118.22566986083984,2021,3,3,117.73546600341795,123.10803985595705,43.739296203170866,-1.8103177053173738,0.24503125290816463
2021-03-26 04:00:00,118.83352661132812,2021,3,4,118.22566986083984,122.31391143798828,45.021037822356305,-1.7340466861523112,0.2570418176585818
2021-03-29 04:00:00,119.0099868774414,2021,3,0,118.83352661132812,118.16683959960938,45.409850110133206,-1.6404523714338666,0.28050890590162125
2021-03-30 04:00:00,117.54920196533205,2021,3,1,119.0099868774414,117.63743591308594,42.716673129893536,-1.6649587290001193,0.20480203866829472
2021-03-31 04:00:00,119.75508880615234,2021,3,2,117.54920196533205,120.97076416015624,47.75558047085547,-1.489216797010826,0.30443517652607044
2021-04-01 04:00:00,120.58843231201172,2021,4,3,119.75508880615234,120.13743591308594,49.56068689569193,-1.2680785729391175,0.4204587204782233
2021-04-05 04:00:00,123.43157958984376,2021,4,0,120.58843231201172,117.73546600341795,55.24252049199433,-0.8535673202588612,0.6679759785267838
2021-04-06 04:00:00,123.73548126220705,2021,4,1,123.43157958984376,118.22566986083984,55.81545912766884,-0.4948376604460947,0.8213645106716403
2021-04-07 04:00:00,125.39234924316406,2021,4,2,123.73548126220705,118.83352661132812,58.90418644494782,-0.07597067880196562,0.9921851938526154
2021-04-08 04:00:00,127.80412292480467,2021,4,3,125.39234924316406,119.0099868774414,62.96282524626087,0.4454594230592477,1.210892236571063
2021-04-09 04:00:00,130.392333984375,2021,4,4,127.80412292480467,117.54920196533205,66.75710602237325,1.0553777990921844,1.4566484900831997
2021-04-12 04:00:00,128.66690063476562,2021,4,0,130.392333984375,119.75508880615234,62.18358623531108,1.3835655723788705,1.4278690106959087
2021-04-13 04:00:00,131.7943115234375,2021,4,1,128.66690063476562,120.58843231201172,66.64421124543107,1.8744056870430654,1.5349673002880828
2021-04-14 04:00:00,129.44137573242188,2021,4,2,131.7943115234375,123.43157958984376,60.830584088465486,2.0499077002511967,1.3683754507969712
2021-04-15 04:00:00,131.86294555664062,2021,4,3,129.44137573242188,123.73548126220705,64.28378448436936,2.357222167229409,1.340551934220147
2021-04-16 04:00:00,131.52963256835938,2021,4,4,131.86294555664062,125.39234924316406,63.4545499522257,2.5445436090476647,1.2222987008307222
2021-04-19 04:00:00,132.1962890625,2021,4,0,131.52963256835938,127.80412292480467,64.44251490749085,2.715488349502877,1.1145947530287474
2021-04-20 04:00:00,130.5001983642578,2021,4,1,132.1962890625,130.392333984375,59.9984547206203,2.6831729953045453,0.8658235190643326
2021-04-21 04:00:00,130.88255310058594,2021,4,2,130.5001983642578,128.66690063476562,60.657136280234305,2.657778460351352,0.6723431872889114
2021-04-22 04:00:00,129.35313415527344,2021,4,3,130.88255310058594,131.7943115234375,56.6395673355264,2.4855894534502454,0.40012334431024366
2021-04-23 04:00:00,131.68649291992188,2021,4,4,129.35313415527344,129.44137573242188,60.89508606676847,2.5084946121355927,0.3384228023964728
2021-04-26 04:00:00,132.07862854003906,2021,4,0,131.68649291992188,131.86294555664062,61.577555723871754,2.5291348900649524,0.2872504642606657
2021-04-27 04:00:00,131.75509643554688,2021,4,1,132.07862854003906,131.52963256835938,60.637275152789556,2.4906751691092097,0.1990325946439384
2021-04-28 04:00:00,130.96096801757812,2021,4,2,131.75509643554688,132.1962890625,58.28467857714274,2.3688098709827443,0.061733837213978404
2021-04-29 04:00:00,130.8629608154297,2021,4,3,130.96096801757812,130.5001983642578,57.98567222354847,2.238518138421881,-0.05484631627750769
2021-04-30 04:00:00,128.882568359375,2021,4,4,130.8629608154297,130.88255310058594,52.16246708138533,1.9529475179732572,-0.27233354938090537
2021-05-03 04:00:00,129.94137573242188,2021,5,0,128.882568359375,129.35313415527344,54.777324559722,1.7914173064349654,-0.3470910087353576
2021-05-04 04:00:00,125.34332275390624,2021,5,1,129.94137573242188,131.68649291992188,43.62518434217847,1.2776510363574118,-0.6886858230503292
2021-05-05 04:00:00,125.5884246826172,2021,5,2,125.34332275390624,132.07862854003906,44.276443247511644,0.8801197702239563,-0.868973671347028
2021-05-06 04:00:00,127.1962890625,2021,5,3,125.5884246826172,131.75509643554688,48.48102787844673,0.6868964806773192,-0.8497575687149321
2021-05-07 04:00:00,127.87388610839844,2021,5,4,127.1962890625,130.96096801757812,50.186854961113006,0.5817361579910454,-0.7639343131209648
2021-05-10 04:00:00,124.57416534423828,2021,5,0,127.87388610839844,130.8629608154297,42.76158891699373,0.22949053187373636,-0.892943951390619
2021-05-11 04:00:00,123.65103149414062,2021,5,1,124.57416534423828,128.882568359375,40.93681824299121,-0.12274096987124494,-0.9961403625084803
2021-05-12 04:00:00,120.56737518310548,2021,5,2,123.65103149414062,129.94137573242188,35.48887400551449,-0.6432967414079229,-1.2133569072361265
2021-05-13 04:00:00,122.72789764404295,2021,5,3,120.56737518310548,125.34332275390624,41.37560812533429,-0.8714591952560795,-1.1532154888674264
2021-05-14 04:00:00,125.16339874267578,2021,5,4,122.72789764404295,125.5884246826172,47.22223067009827,-0.8460028056990865,-0.9022072794483468
2021-05-17 04:00:00,124.0045928955078,2021,5,0,125.16339874267578,127.1962890625,44.92642261260806,-0.9088576358122822,-0.772049687649234
2021-05-18 04:00:00,122.61005401611328,2021,5,1,124.0045928955078,127.87388610839844,42.2634964011146,-1.058990787837729,-0.7377462717397445
2021-05-19 04:00:00,122.45293426513672,2021,5,2,122.61005401611328,124.57416534423828,41.96171300455496,-1.1770819749687575,-0.6846699670966185
2021-05-20 04:00:00,125.02590942382812,2021,5,3,122.45293426513672,123.65103149414062,48.45289377215373,-1.0509379411163309,-0.4468207465953534
2021-05-21 04:00:00,123.1796417236328,2021,5,4,125.02590942382812,120.56737518310548,44.59836070565199,-1.087411258870148,-0.3866352514793363
2021-05-24 04:00:00,124.81968688964844,2021,5,0,123.1796417236328,122.72789764404295,48.516383199430905,-0.972765255161832,-0.21759139821681628
2021-05-25 04:00:00,124.62328338623048,2021,5,1,124.81968688964844,125.16339874267578,48.07788504517808,-0.8875247595927931,-0.10588072211822186
2021-05-26 04:00:00,124.57416534423828,2021,5,2,124.62328338623048,124.0045928955078,47.96113815210065,-0.8145449016324591,-0.026320691326310208
2021-05-27 04:00:00,123.03233337402344,2021,5,3,124.57416534423828,122.61005401611328,44.32276292576698,-0.8710795301805945,-0.06628425589955644
2021-05-28 04:00:00,122.37435913085938,2021,5,4,123.03233337402344,122.45293426513672,42.82956227323669,-0.9579341841367324,-0.12251112788455543
2021-06-01 04:00:00,122.05028533935548,2021,6,1,122.37435913085938,125.02590942382812,42.07765791012265,-1.0409181136623857,-0.16439604592816703
2021-06-02 04:00:00,122.81629943847656,2021,6,2,122.05028533935548,123.1796417236328,44.5553981532343,-1.03296516035617,-0.12515447409756097
2021-06-03 04:00:00,121.32356262207033,2021,6,3,122.81629943847656,124.81968688964844,40.885064761877075,-1.134041251691599,-0.18098445234639193
