ds,y,year,month,day_of_week,lag_1,lag_7,rsi,macd,macd_diff
2012-05-18 04:00:00,38.15160369873047,2012,5,4,0.0,0.0,0.0,0.0,0.0
2012-05-21 04:00:00,33.96021270751953,2012,5,0,38.15160369873047,0.0,0.0,0.0,0.0
2012-05-22 04:00:00,30.93642807006836,2012,5,1,33.96021270751953,0.0,0.0,0.0,0.0
2012-05-23 04:00:00,31.93437767028809,2012,5,2,30.93642807006836,0.0,0.0,0.0,0.0
2012-05-24 04:00:00,32.96226501464844,2012,5,3,31.93437767028809,0.0,0.0,0.0,0.0
2012-05-25 04:00:00,31.844562530517575,2012,5,4,32.96226501464844,0.0,0.0,0.0,0.0
2012-05-29 04:00:00,28.78085708618164,2012,5,1,31.844562530517575,0.0,0.0,0.0,0.0
2012-05-30 04:00:00,28.132190704345703,2012,5,2,28.78085708618164,38.15160369873047,0.0,0.0,0.0
2012-05-31 04:00:00,29.53929901123047,2012,5,3,28.132190704345703,33.96021270751953,0.0,0.0,0.0
2012-06-01 04:00:00,27.66315460205078,2012,6,4,29.53929901123047,30.93642807006836,0.0,0.0,0.0
2012-06-04 04:00:00,26.84483528137207,2012,6,0,27.66315460205078,31.93437767028809,0.0,0.0,0.0
2012-06-05 04:00:00,25.81694984436035,2012,6,1,26.84483528137207,32.96226501464844,0.0,0.0,0.0
2012-06-06 04:00:00,26.75502014160156,2012,6,2,25.81694984436035,31.844562530517575,0.0,0.0,0.0
2012-06-07 04:00:00,26.256044387817383,2012,6,3,26.75502014160156,28.78085708618164,23.32722743979562,0.0,0.0
2012-06-08 04:00:00,27.04442596435547,2012,6,4,26.256044387817383,28.132190704345703,28.31629614463715,0.0,0.0
2012-06-11 04:00:00,26.95461082458496,2012,6,0,27.04442596435547,29.53929901123047,28.092032310648264,0.0,0.0
2012-06-12 04:00:00,27.343809127807617,2012,6,1,26.95461082458496,27.66315460205078,30.65500506291771,0.0,0.0
2012-06-13 04:00:00,27.21407699584961,2012,6,2,27.343809127807617,26.84483528137207,30.267740043507658,0.0,0.0
2012-06-14 04:00:00,28.23198509216309,2012,6,3,27.21407699584961,25.81694984436035,36.99345196183541,0.0,0.0
2012-06-15 04:00:00,29.948457717895508,2012,6,4,28.23198509216309,26.75502014160156,46.384386200906704,0.0,0.0
2012-06-18 04:00:00,31.3455867767334,2012,6,0,29.948457717895508,26.256044387817383,52.5798063444135,0.0,0.0
2012-06-19 04:00:00,31.844562530517575,2012,6,1,31.3455867767334,27.04442596435547,54.59764066040488,0.0,0.0
2012-06-20 04:00:00,31.53519821166992,2012,6,2,31.844562530517575,26.95461082458496,53.08928242749588,0.0,0.0
2012-06-21 04:00:00,31.774703979492188,2012,6,3,31.53519821166992,27.343809127807617,54.14547535701595,0.0,0.0
2012-06-22 04:00:00,32.98221969604492,2012,6,4,31.774703979492188,27.21407699584961,59.140377952233045,0.0,0.0
2012-06-25 04:00:00,31.99425506591797,2012,6,0,32.98221969604492,28.23198509216309,53.961212167572334,-0.3902197528023841,0.0
2012-06-26 04:00:00,33.0321159362793,2012,6,1,31.99425506591797,29.948457717895508,58.11128031965987,-0.17534035535180337,0.0
2012-06-27 04:00:00,32.16390609741211,2012,6,2,33.0321159362793,31.3455867767334,53.74659858668652,-0.07424827491865571,0.0
2012-06-28 04:00:00,31.295690536499023,2012,6,3,32.16390609741211,31.844562530517575,49.72452231197433,-0.0634583047955104,0.0
2012-06-29 04:00:00,31.036222457885746,2012,6,4,31.295690536499023,31.53519821166992,48.555089880308486,-0.07497976120042793,0.0
2012-07-02 04:00:00,30.706899642944336,2012,7,0,31.036222457885746,31.774703979492188,47.04284993764027,-0.1094228389352061,0.0
2012-07-03 04:00:00,31.13601875305176,2012,7,1,30.706899642944336,32.98221969604492,49.26040131399766,-0.10092944844608098,0.0
2012-07-05 04:00:00,31.40546417236328,2012,7,3,31.13601875305176,31.99425506591797,50.657565019762586,-0.07163066805002316,0.0
2012-07-06 04:00:00,31.66493034362793,2012,7,4,31.40546417236328,33.0321159362793,52.027461008189015,-0.027161323102653512,0.10087192831107417
2012-07-09 04:00:00,32.104026794433594,2012,7,0,31.66493034362793,32.16390609741211,54.3378608002719,0.04301649961955789,0.13683980082662844
2012-07-10 04:00:00,31.40546417236328,2012,7,1,32.104026794433594,31.295690536499023,50.19601634533048,0.04178311452599459,0.10848513258645212
2012-07-11 04:00:00,30.9064884185791,2012,7,2,31.40546417236328,31.036222457885746,47.41583313535655,0.0005362926889844744,0.053790648599553605
2012-07-12 04:00:00,30.74681663513184,2012,7,3,30.9064884185791,30.706899642944336,46.527758007846145,-0.044523055209751305,0.006985040560654264
2012-07-13 04:00:00,30.657001495361328,2012,7,4,30.74681663513184,31.13601875305176,46.00578882861171,-0.08648331835757972,-0.02798017806973932
2012-07-16 04:00:00,28.192066192626957,2012,7,0,30.657001495361328,31.40546417236328,34.55007043798351,-0.31500561912334746,-0.20520198306840565
