ds,y,year,month,day_of_week,lag_1,lag_7,rsi,macd,macd_diff
2010-06-29 04:00:00,1.5926669836044312,2010,6,1,0.0,0.0,0.0,0.0,0.0
2010-06-30 04:00:00,1.5886670351028442,2010,6,2,1.5926669836044312,0.0,0.0,0.0,0.0
2010-07-01 04:00:00,1.4639999866485596,2010,7,3,1.5886670351028442,0.0,0.0,0.0,0.0
2010-07-02 04:00:00,1.2799999713897705,2010,7,4,1.4639999866485596,0.0,0.0,0.0,0.0
2010-07-06 04:00:00,1.0740000009536743,2010,7,1,1.2799999713897705,0.0,0.0,0.0,0.0
2010-07-07 04:00:00,1.053333044052124,2010,7,2,1.0740000009536743,0.0,0.0,0.0,0.0
2010-07-08 04:00:00,1.1640000343322754,2010,7,3,1.053333044052124,0.0,0.0,0.0,0.0
2010-07-09 04:00:00,1.159999966621399,2010,7,4,1.1640000343322754,1.5926669836044312,0.0,0.0,0.0
2010-07-12 04:00:00,1.136667013168335,2010,7,0,1.159999966621399,1.5886670351028442,0.0,0.0,0.0
2010-07-13 04:00:00,1.2093329429626465,2010,7,1,1.136667013168335,1.4639999866485596,0.0,0.0,0.0
2010-07-14 04:00:00,1.3226670026779177,2010,7,2,1.2093329429626465,1.2799999713897705,0.0,0.0,0.0
2010-07-15 04:00:00,1.3259999752044678,2010,7,3,1.3226670026779177,1.0740000009536743,0.0,0.0,0.0
2010-07-16 04:00:00,1.3760000467300415,2010,7,4,1.3259999752044678,1.053333044052124,0.0,0.0,0.0
2010-07-19 04:00:00,1.4606670141220093,2010,7,0,1.3760000467300415,1.1640000343322754,55.14231266995263,0.0,0.0
2010-07-20 04:00:00,1.3533329963684082,2010,7,1,1.4606670141220093,1.159999966621399,46.53517516996844,0.0,0.0
2010-07-21 04:00:00,1.3480000495910645,2010,7,2,1.3533329963684082,1.136667013168335,46.149734517318144,0.0,0.0
2010-07-22 04:00:00,1.399999976158142,2010,7,3,1.3480000495910645,1.2093329429626465,50.458615227599175,0.0,0.0
2010-07-23 04:00:00,1.4193329811096191,2010,7,4,1.399999976158142,1.3226670026779177,51.996524170386735,0.0,0.0
2010-07-26 04:00:00,1.3966670036315918,2010,7,0,1.4193329811096191,1.3259999752044678,50.035423732332355,0.0,0.0
2010-07-27 04:00:00,1.3700000047683716,2010,7,1,1.3966670036315918,1.3760000467300415,47.75342989778248,0.0,0.0
2010-07-28 04:00:00,1.3813329935073853,2010,7,2,1.3700000047683716,1.4606670141220093,48.821691963690995,0.0,0.0
2010-07-29 04:00:00,1.3566670417785645,2010,7,3,1.3813329935073853,1.3533329963684082,46.58893767159744,0.0,0.0
2010-07-30 04:00:00,1.329332947731018,2010,7,4,1.3566670417785645,1.3480000495910645,44.17779119059057,0.0,0.0
2010-08-02 04:00:00,1.3946670293807983,2010,8,0,1.329332947731018,1.399999976158142,50.740065862540085,0.0,0.0
2010-08-03 04:00:00,1.463333010673523,2010,8,1,1.3946670293807983,1.4193329811096191,56.52470707709388,0.0,0.0
2010-08-04 04:00:00,1.4173330068588257,2010,8,2,1.463333010673523,1.3966670036315918,52.10997468486941,-0.006340564601335252,0.0
2010-08-05 04:00:00,1.363332986831665,2010,8,3,1.4173330068588257,1.3700000047683716,47.42709182480482,-0.007696853543434745,0.0
2010-08-06 04:00:00,1.305999994277954,2010,8,4,1.363332986831665,1.3813329935073853,43.007962846482194,-0.013245331709837771,0.0
2010-08-09 04:00:00,1.3066669702529907,2010,8,0,1.305999994277954,1.3566670417785645,43.074414830052525,-0.017388279976563226,0.0
2010-08-10 04:00:00,1.2686669826507568,2010,8,1,1.3066669702529907,1.329332947731018,40.19858933996432,-0.02346736062130894,0.0
2010-08-11 04:00:00,1.1933330297470093,2010,8,2,1.2686669826507568,1.3946670293807983,35.183545548136166,-0.033972284883772685,0.0
2010-08-12 04:00:00,1.1733330488204956,2010,8,3,1.1933330297470093,1.463333010673523,33.971814679433365,-0.04341093017888609,0.0
2010-08-13 04:00:00,1.2213330268859863,2010,8,4,1.1733330488204956,1.4173330068588257,39.368887147976075,-0.04648211066209673,0.0
2010-08-16 04:00:00,1.2519999742507937,2010,8,0,1.2213330268859863,1.363332986831665,42.597203815552014,-0.04591222936300787,-0.015114243748852677
2010-08-17 04:00:00,1.2766669988632202,2010,8,1,1.2519999742507937,1.305999994277954,45.12802846715042,-0.04297478502155694,-0.009741439525921394
2010-08-18 04:00:00,1.2513329982757568,2010,8,2,1.2766669988632202,1.3066669702529907,43.02972051857174,-0.042204573290684166,-0.007176982236038895
2010-08-19 04:00:00,1.25266695022583,2010,8,3,1.2513329982757568,1.2686669826507568,43.17953326138181,-0.04101375513183858,-0.004788931261754649
2010-08-20 04:00:00,1.273332953453064,2010,8,4,1.25266695022583,1.1933330297470093,45.56766541900767,-0.03796481466297141,-0.0013919926343099812
2010-08-23 04:00:00,1.3420000076293943,2010,8,0,1.273332953453064,1.1733330488204956,52.68374121521167,-0.02966568245634016,0.0055257116578570215
2010-08-24 04:00:00,1.2799999713897705,2010,8,1,1.3420000076293943,1.2213330268859863,46.741934787789,-0.027771314730016483,0.0059360635073445606
2010-08-25 04:00:00,1.3266669511795044,2010,8,2,1.2799999713897705,1.2519999742507937,51.20298943377459,-0.02224791923778957,0.009167567199657181
2010-08-26 04:00:00,1.3166669607162476,2010,8,3,1.3266669511795044,1.2766669988632202,50.23201601513492,-0.018464655122854445,0.010360665051673847
2010-08-27 04:00:00,1.3133330345153809,2010,8,4,1.3166669607162476,1.2513329982757568,49.892322835791155,-0.01555609011295589,0.010615384049257923
2010-08-30 04:00:00,1.324666976928711,2010,8,0,1.3133330345153809,1.25266695022583,51.10291780754618,-0.012195890324502523,0.011180467070169033
2010-08-31 04:00:00,1.2986669540405271,2010,8,1,1.324666976928711,1.273332953453064,48.22458813879142,-0.011498346557398342,0.009502408669818573
2010-09-01 04:00:00,1.363332986831665,2010,9,2,1.2986669540405271,1.3420000076293943,55.01165360463001,-0.005662258693195588,0.012270797227217065
2010-09-02 04:00:00,1.4040000438690186,2010,9,3,1.363332986831665,1.2799999713897705,58.6799973648017,0.002218797701318387,0.016121482897384833
2010-09-03 04:00:00,1.4033329486846924,2010,9,4,1.4040000438690186,1.3266669511795044,58.595593041110206,0.00831491352047764,0.01777407897323527
2010-09-07 04:00:00,1.369333028793335,2010,9,1,1.4033329486846924,1.3166669607162476,54.3080033651191,0.010284071466998723,0.01579458953580508
2010-09-08 04:00:00,1.3933329582214355,2010,9,2,1.369333028793335,1.3133330345153809,56.71566664802363,0.013624185921164322,0.015307763191976544
2010-09-09 04:00:00,1.380666971206665,2010,9,3,1.3933329582214355,1.324666976928711,55.06652838410786,0.015075431205487044,0.013407206781039412
2010-09-10 04:00:00,1.3446669578552246,2010,9,4,1.380666971206665,1.2986669540405271,50.566024463067336,0.01316885101895271,0.009200501275604062
2010-09-13 04:00:00,1.3813329935073853,2010,9,0,1.3446669578552246,1.363332986831665,54.632896235955975,0.014449945158234057,0.008385276331908328
2010-09-14 04:00:00,1.4079999923706057,2010,9,1,1.3813329935073853,1.4040000438690186,57.37921684590939,0.017416261613617756,0.009081274229833621
2010-09-15 04:00:00,1.4653329849243164,2010,9,2,1.4079999923706057,1.4033329486846924,62.618607789157736,0.02411539486227854,0.012624325982795523
2010-09-16 04:00:00,1.3960000276565552,2010,9,3,1.4653329849243164,1.369333028793335,53.97711374501515,0.023558350020213892,0.0096538249125847
2010-09-17 04:00:00,1.348667025566101,2010,9,4,1.3960000276565552,1.3933329582214355,49.005064705386346,0.019077595632232658,0.004138456419682772
2010-09-20 04:00:00,1.4040000438690186,2010,9,0,1.348667025566101,1.380666971206665,54.30422204210211,0.019763654530403407,0.0038596122542828154
2010-09-21 04:00:00,1.3846670389175415,2010,9,1,1.4040000438690186,1.3446669578552246,52.26081161974425,0.01853370421767986,0.002103729553247412
2010-09-22 04:00:00,1.324666976928711,2010,9,2,1.3846670389175415,1.3813329935073853,46.422496642207925,0.012572527897004582,-0.0030859574139422905
2010-09-23 04:00:00,1.3040000200271606,2010,9,3,1.324666976928711,1.4079999923706057,44.57529169388932,0.006110167802938715,-0.007638654006406526
2010-09-24 04:00:00,1.340000033378601,2010,9,4,1.3040000200271606,1.4653329849243164,48.42507270179883,0.0038492295600909276,-0.007919673799403452
2010-09-27 04:00:00,1.3686670064926147,2010,9,0,1.340000033378601,1.3960000276565552,51.32446640416214,0.004320797401027976,-0.005958484766773124
2010-09-28 04:00:00,1.4266669750213623,2010,9,1,1.3686670064926147,1.348667025566101,56.63609339803735,0.009267797644499476,-0.0008091876186413008
2010-09-29 04:00:00,1.4653329849243164,2010,9,2,1.4266669750213623,1.4040000438690186,59.786556483696415,0.016122504634982215,0.004836415497473151
2010-09-30 04:00:00,1.3606669902801514,2010,9,3,1.4653329849243164,1.3846670389175415,49.33736125406645,0.01295984524411642,0.001339004885285884
2010-10-01 04:00:00,1.373332977294922,2010,10,4,1.3606669902801514,1.324666976928711,50.46560842501074,0.011344679782433031,-0.0002209284611180036
2010-10-04 04:00:00,1.3993330001831057,2010,10,0,1.373332977294922,1.3040000200271606,52.789798673827875,0.01202402855672502,0.00036673625053918607
2010-10-05 04:00:00,1.4079999923706057,2010,10,1,1.3993330001831057,1.340000033378601,53.571832861370154,0.013110639895623555,0.0011626780715501758
2010-10-06 04:00:00,1.3639999628067017,2010,10,2,1.4079999923706057,1.3686670064926147,49.12301948980318,0.010302590695695502,-0.0013162969027023033
2010-10-07 04:00:00,1.3619999885559082,2010,10,3,1.3639999628067017,1.4266669750213623,48.924141366135714,0.007825601602290178,-0.0030346287968861033
2010-10-08 04:00:00,1.3619999885559082,2010,10,4,1.3619999885559082,1.4653329849243164,48.924141366135714,0.0057957599866331755,-0.004051576330034485
2010-10-11 04:00:00,1.3493330478668213,2010,10,0,1.3619999885559082,1.3606669902801514,47.51122995465387,0.0031289114865005185,-0.005374739864133714
2010-10-12 04:00:00,1.3493330478668213,2010,10,1,1.3493330478668213,1.373332977294922,47.51122995465387,0.0010038431574905804,-0.005999846554514922
2010-10-13 04:00:00,1.369333028793335,2010,10,2,1.3493330478668213,1.3993330001831057,50.14759212454637,0.0009229038493272501,-0.004864628690142603
2010-10-14 04:00:00,1.3833329677581787,2010,10,3,1.369333028793335,1.4079999923706057,51.96631215761365,0.001965776686573273,-0.003057404682317264
2010-10-15 04:00:00,1.369333028793335,2010,10,4,1.3833329677581787,1.3639999628067017,50.00182040367077,0.0016436360383702553,-0.0027036362644162247
2010-10-18 04:00:00,1.348667025566101,2010,10,0,1.369333028793335,1.3619999885559082,47.167270598595614,-0.0002760543114068703,-0.0036986612913546806
2010-10-19 04:00:00,1.3366669416427612,2010,10,1,1.348667025566101,1.3619999885559082,45.55245642893221,-0.0027342109461552244,-0.0049254543408824274
2010-10-20 04:00:00,1.376667022705078,2010,10,2,1.3366669416427612,1.3493330478668213,51.51156434384097,-0.0014380683849763987,-0.0029034494237628818
2010-10-21 04:00:00,1.3833329677581787,2010,10,3,1.376667022705078,1.3493330478668213,52.445633224891175,0.00012557246787503473,-0.0010718468567291587
2010-10-22 04:00:00,1.3813329935073853,2010,10,4,1.3833329677581787,1.369333028793335,52.121216947951176,0.0011896740793864158,-6.196196174222245e-06
2010-10-25 04:00:00,1.3899999856948853,2010,10,0,1.3813329935073853,1.3833329677581787,53.464616755187436,0.002701198375961944,0.0012042624803210447
2010-10-26 04:00:00,1.4240000247955322,2010,10,1,1.3899999856948853,1.369333028793335,58.39624573176556,0.006566912002379244,0.0040559808853906755
2010-10-27 04:00:00,1.399999976158142,2010,10,2,1.4240000247955322,1.348667025566101,54.04252914036375,0.0076062346160783445,0.0040762427992718205
2010-10-28 04:00:00,1.4126670360565186,2010,10,3,1.399999976158142,1.3366669416427612,55.9108659991098,0.009344315691455884,0.004651459099719488
2010-10-29 04:00:00,1.4559999704360962,2010,10,4,1.4126670360565186,1.376667022705078,61.65396708262057,0.014056330493710023,0.007490779121578901
2010-11-01 04:00:00,1.4273329973220823,2010,11,0,1.4559999704360962,1.3833329677581787,56.41817547799476,0.015301069814087853,0.006988414753565384
