ds,y,year,month,day_of_week,lag_1,lag_7,rsi,macd,macd_diff
2002-05-30 04:00:00,16.22874641418457,2002,5,3,16.046852111816406,16.651121139526367,46.94258017746341,-0.14466216618060201,0.01804442416016716
2002-05-31 04:00:00,15.695396423339844,2002,5,4,16.22874641418457,16.090009689331055,42.561032656647775,-0.1889358783504882,-0.0209834304077752
2002-06-03 04:00:00,15.23603343963623,2002,6,0,15.695396423339844,16.552461624145508,39.169924140930796,-0.25811448483771926,-0.07212962951600502
2002-06-04 04:00:00,15.408679008483888,2002,6,1,15.23603343963623,16.90084457397461,41.070335522099114,-0.29560047605396633,-0.08769249658580164
2002-06-05 04:00:00,15.92662239074707,2002,6,2,15.408679008483888,16.419897079467773,46.47306447962068,-0.28028375519038917,-0.05790062057777956
2002-06-06 04:00:00,16.0006160736084,2002,6,3,15.92662239074707,16.130098342895508,47.217566127135655,-0.25918672847140733,-0.02944287508703816
2002-06-07 04:00:00,16.025270462036133,2002,6,4,16.0006160736084,16.046852111816406,47.47968895576673,-0.2377372921819969,-0.006394751038102192
2002-06-10 04:00:00,16.28424072265625,2002,6,0,16.025270462036133,16.22874641418457,50.27317501055281,-0.19756432510029143,0.027022572834882658
2002-06-11 04:00:00,16.207168579101562,2002,6,1,16.28424072265625,15.695396423339844,49.430526071824,-0.16998653812496656,0.04368028784816602
2002-06-12 04:00:00,17.122814178466797,2002,6,2,16.207168579101562,15.23603343963623,58.360167092282445,-0.07339988754678828,0.11221355074107545
2002-06-13 04:00:00,16.715858459472656,2002,6,3,17.122814178466797,15.408679008483888,53.812070362187356,-0.029353823936101975,0.12500769148140942
2002-06-14 04:00:00,17.033411026000977,2002,6,4,16.715858459472656,15.92662239074707,56.65094340559928,0.03082154544132365,0.14814644868706803
2002-06-17 04:00:00,17.165977478027344,2002,6,0,17.033411026000977,16.0006160736084,57.81657680947922,0.08819134901330017,0.16441300180723564
2002-06-18 04:00:00,17.26154136657715,2002,6,1,17.165977478027344,16.025270462036133,58.67915095055593,0.13975750133704778,0.1727833233047866
2002-06-19 04:00:00,16.759023666381836,2002,6,2,17.26154136657715,16.28424072265625,52.58945614506258,0.1384787727849499,0.13720367580215098
2002-06-20 04:00:00,16.67886734008789,2002,6,3,16.759023666381836,16.207168579101562,51.668354700843985,0.12950457740262067,0.10258358433585739
2002-06-21 04:00:00,16.117755889892578,2002,6,4,16.67886734008789,17.122814178466797,45.64181894588853,0.07623664963846366,0.0394525252573603
2002-06-24 04:00:00,16.69736099243164,2002,6,0,16.117755889892578,16.715858459472656,51.88481445423279,0.0798700289472869,0.03446872365294683
2002-06-25 04:00:00,16.324321746826172,2002,6,1,16.69736099243164,17.033411026000977,48.05911472132445,0.052048377429294135,0.005317657707963254
2002-06-26 04:00:00,16.68811798095703,2002,6,2,16.324321746826172,17.165977478027344,51.7922667955512,0.058678425516180965,0.009558164635880065
2002-06-27 04:00:00,16.93166732788086,2002,6,3,16.68811798095703,17.26154136657715,54.167224842553885,0.08263264556090277,0.026809907744481498
2002-06-28 04:00:00,16.863845825195312,2002,6,4,16.93166732788086,16.759023666381836,53.37859806947523,0.095048251985002,0.03138041133486458
2002-07-01 04:00:00,16.234920501708984,2002,7,0,16.863845825195312,16.67886734008789,46.60276125758531,0.053521726916827106,-0.00811689098664825
2002-07-02 04:00:00,15.858798027038574,2002,7,1,16.234920501708984,16.117755889892578,43.080726185034365,-0.0096273061093477,-0.05701273921025845
2002-07-03 04:00:00,15.98211669921875,2002,7,2,15.858798027038574,16.69736099243164,44.560135752900635,-0.04915594439058779,-0.07723310199319884
2002-07-05 04:00:00,16.91008758544922,2002,7,4,15.98211669921875,16.324321746826172,54.20575602397062,-0.005539325972712561,-0.026893186860258884
2002-07-08 04:00:00,16.315073013305664,2002,7,0,16.91008758544922,16.68811798095703,48.391967665107266,-0.018769185377877307,-0.0320984370123389
2002-07-09 04:00:00,16.40448570251465,2002,7,1,16.315073013305664,16.93166732788086,49.27243663030069,-0.021787929813935847,-0.028093745158717955
2002-07-10 04:00:00,16.105438232421875,2002,7,2,16.40448570251465,16.863845825195312,46.41992858181173,-0.04776038611951705,-0.04325296117143933
2002-07-11 04:00:00,16.311986923217773,2002,7,3,16.105438232421875,16.234920501708984,48.631918689674016,-0.051088080128835145,-0.03726452414460594
2002-07-12 04:00:00,15.98828125,2002,7,4,16.311986923217773,15.858798027038574,45.46409508011632,-0.07893572224320877,-0.05208973300718365
2002-07-15 04:00:00,15.969776153564451,2002,7,0,15.98828125,15.98211669921875,45.2825034858858,-0.10133031310553164,-0.059587459095605214
